Play Name,Success Rate %,Prerequisites (Down/Distance/Field Position),Required Personnel,Defensive Vulnerability,EPA Value,Risk Level,Penalty Type,Yardage,Automatic First Down (Yes/No),Frequency Per Game,Impact on Momentum,Referee Crew Variance,Technique (Restructure/Void Years/Post-June 1),Immediate Cap Savings %,Future Penalty Year,Typical Use Case,Risk Rating,Position,Average Career Length (Games),Peak Years,Decline Rate,Draft Round Impact,Injury Susceptibility,Decision Type (4th Down/Timeout/Challenge),Situation Triggers,Optimal Choice %,Conservative Choice %,Analytics Recommendation,Win Probability Impact,Career Stage,Money Weight %,Contender Weight %,Loyalty Weight %,Typical Discount Range,Position-Specific Factors,Metric Name,Calculation Formula,Success Threshold,Position Relevance,Correlation to Wins,Source
Statue of Liberty,Not in source,Red-zone; 2-point conversion; OT attempt; against rolling safeties,"QB, RB, WR in motion",Trickeration; defense moves opposite to runner; vacating edge lane,Not in source,High (Difficult coordination; risk of fumble/sack),Roughing the Passer,15,Yes,Not in source,Critical gain; frustrates defense; high-variance,Subjective/Inconsistent application,Not in source,Not in source,Not in source,Red Zone deception,No-brainer,Running Back,Not in source,Performance breaks trend at age 30,Risk increases with age,Not in source,High (Violent game; physical toll),4th Down,Short yardage; need a spark,Not in source,Not in source,Mix up plays to team strengths,Significant,Veteran (Vested),High,Moderate,Not in source,Not in source,Market dictates value; guaranteed salary Week 1,HHI (Herfindahl-Hirschman Index),$\sum (\text{Salary Cap Share})^2 \times 100$,< 4.7 index,Team-wide salary distribution,Non-linear influence,"3, 5, 8, 14-19"
Pass Play (Standard),Not in source,3rd & Medium/Long; Goal line (difficult),Wide Receivers,Man-to-man coverage; one-on-one battles,Not in source,High (Volatile gains; higher risk of turnover),Defensive Holding / DPI,5 yards / Spot foul,Yes,14.9 total penalties per game,Positive for offense; extend drives,Philosophies change; Hussey's crew No. 1 for DPI,Void Years,Not in source,Year of Void (Immediate acceleration),Super Bowl runs; competitive window financing,High (Future dead money concentration),Running Back,Short/Volatile,Not in source,Significant assessment at age 30,Late-round/Undrafted treated same in camp,High,Pass vs Run,Score differential (losing teams throw more),Not in source,Not in source,Pass preserves time; run keeps clock ticking,High,Veteran Free Agent,High (Top RB rate $20M),High (Final touch for rebuilding team),Not in source,Not in source,Market value by comparables,Turnover Margin,Fumble or Interception Differential,Positive differential,All positions,70% correlation,21-31
Run Play (Standard),Not in source,Short distances; 3rd & Short,Extra linemen (heavy blocking),Defense spreads out to cover receivers,Not in source,Low/Safe (Lower turnover risk),Offensive Holding,10 yards,No,14.9 total penalties per game,Disrupts offensive momentum,Huge enforcement swings; crew variance not quantified,Simple Restructure,80% (Salary to bonus conversion),Subsequent years of contract,Indispensable elite talent,Moderate (Harder to cut/trade later),Quarterback,Not in source,Not in source,Peaks then dips with age,Highest surplus value if drafted successfully,High (Protect QB),4th Down,Punt or kick (non-scrimmage),Not in source,Not in source,Punt or kick field goal,Significant (High leverage),Draft Prospect / Rookie,Low (Rookie Wage Scale),High (Competitive window fit),Not in source,Standardized amounts by selection order,Alpha-type pass-catchers/QBs,Estimated Points Added (EPA),Not in source,Positive turnover margin (70% win rate),"High-leverage (QB, WR, OT, Edge, CB)",High (Maximize EPA),21-25
QB Sneak (Traditional),Not in source,3rd/4th down or opponent goal line,QB (Under-center),Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,1.08,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Quarterback,Not in source,Not in source,Not in source,8% of total 2020 draft capital,Not in source,4th Down,4th and short (5 yards or fewer),95.2%,Not in source,Go for it,Not in source,Rookie,Not in source,Not in source,Not in source,Not in source,Rookie-scale salary flexibility,Win Percentage,Wins / Games,0.5002,"Linked to QB, WR, OL spending",0.618 (QB_P),"35, 36"
Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Offensive Pass Interference (OPI),Not in source,No,Not in source,Negative,Harsh calls; variance in seasonal emphasis,Post-June 1 Designation,Not in source,Split (Following Year),Max 2 per year to mitigate dead money acceleration,Moderate (Space available June 2nd),Offensive Tackle,Not in source,Not in source,Assessed at age 30,High market value ($30M/year),Not in source,Timeout,End of half/game; clock management,Not in source,Not in source,Not in source,Not in source,Undrafted,Low (Minimum salary),High (Team choice),Not in source,3-year deal instead of 4,Look for specific 4-3 schemes,False Discovery Rate (FDR),Incorrect / total positive decisions,< 0.15,Predicting turnovers,High confidence,"21, 23-26, 28, 37"
Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Basic Restructure,Up to 80% of current year cash,Prorated over max 5 years,Convert base salary/bonus into signing bonus for cap space,Low/Moderate (Kicking the can),Quarterback,Not in source,First 5 Seasons,Not in source,No. 1 overall pick; most important,Not in source,4th Down,4th and short; end of game,Not in source,74.5%,Go for it (Coaches too conservative),Forfeited ~3% by kicking on 4th-and-5,Apex,18–25% of cap,Secures stability,Not in source,Not in source,High investment; single player %,QBR / Passer Rating,Not in source,Not in source,Highest,High,"32, 38-47"
Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Void Years,"Significant (e.g., $26M to $6M hit)",Season after contract expires; immediate acceleration,"Defer costs; finance purchase; ""Peanut butter"" bonus out",High (Sacrifice future season; inhibits talent addition),Running Back,Not in source,Not in source,Short career; fungible,Mid-round picks or committees,Bodies take beating,4th Down,Lead of 35 pts with 3 mins left,Not in source,Not in source,Go for it if lead is firm,Not in source,Veteran,High (Want big payday),Moderate (Take less for champ),Not in source,Not in source,0.68x Strategic Value Index,EPA per play,Drive's expected points added,EPA > 0,All offensive/defensive units,Coverage > Pass-rush for wins,"33, 38, 41, 42, 44, 47-52"
Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Defensive Holding / Illegal Contact,5 Yards,Yes,Not in source,Extend drives; shift momentum,Officials lean heavily on different calls,Post June 1 Release,Varies,Following season,Avoid large dead money acceleration for released players,Moderate,Defensive Back,38,Not in source,Not in source,Not in source,Moderate (High contact),Timeout,Ball late in 2nd/4th quarter,Not in source,Not in source,Use to stop the clock,Not in source,Young Player,High (Seeking security),Low,High (To staff for job security),Low (League minimum),Younger/cheaper kept over expensive vets,Success Rate,"40% 1st, 60% 2nd, 100% 3rd/4th down",Based on down and distance,Measure of efficiency,Staying ahead of chains,"8, 29-31, 33, 53-56"
Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Re-work contract / Restructure,Variable,N/A (Saves room during the year),Save team cap room; pay minimum base salary,Low,Star-player,Not in source,Not in source,Not in source,Not in source,Not in source,Challenge,Sideline calls and fumbles,Not in source,Not in source,If play looks close; game-changer,High (Overturned by AI),Veteran (Expired contract),High (Auction based),High (Seeking winner),Variable (Loyalty earned),0% (Bidding wars to $70M),Market depth/Large market preference,Approval Rating,"Composite score (players, staff, fans)",Above 20 (Fired if lower),Head Coach measure,Strong (Achieving team goals),"1, 33, 57"
Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Challenge,Staff notifies challenge is good idea,High success probability,Not in source,Win or lose situations,Huge impact on approval rating,Free Agent (UFA/RFA),High (Signing bonus impact),Wants to be on winning team,Not in source,Smaller contracts,"Position needs (QB, RB, DB, etc.)",Surplus Value,Performance Value - Compensation Cost,Positive Value,All positions,Positive (0.0055 sig),"1, 33, 34, 38, 47"
